"","Country","variable","Education","Code","value"
"194","AT","2013",2,"C",68.8510060586864
"195","AT","2013",2,"D",56.9867649012111
"196","AT","2013",2,"E",69.233016318269
"197","AT","2013",2,"F",71.2176327746501
"198","AT","2013",2,"G",73.4461229908665
"199","AT","2013",2,"H",73.5333140243498
"200","AT","2013",2,"I",66.3360874367245
"201","AT","2013",2,"J",60.2306739486981
"202","AT","2013",2,"K",73.6659259903988
"203","AT","2013",2,"L",68.1193849425848
"204","AT","2013",2,"M_N",57.3952667415142
"205","AT","2013",3,"B",21.0755139988261
"206","AT","2013",3,"C",15.4669777777323
"207","AT","2013",3,"D",7.8498826972669
"208","AT","2013",3,"E",16.3588708048307
"209","AT","2013",3,"F",16.3218695111884
"210","AT","2013",3,"G",15.2951221096713
"211","AT","2013",3,"H",16.4108613712611
"212","AT","2013",3,"I",25.8818534033058
"213","AT","2013",3,"J",4.54564064820124
"214","AT","2013",3,"K",5.51296372499054
"215","AT","2013",3,"L",8.87902560968011
"216","AT","2013",3,"M_N",14.988202508539
"217","AT","2014",1,"B",26.8513253030062
"218","AT","2014",1,"C",25.6098327783102
"219","AT","2014",1,"D",40.4386557398067
"220","AT","2014",1,"E",14.486537459485
"221","AT","2014",1,"F",18.6301126566347
"222","AT","2014",1,"G",17.8650307831358
"223","AT","2014",1,"H",16.1892833029496
"224","AT","2014",1,"I",11.8547198115867
"225","AT","2014",1,"J",54.3237618122156
"226","AT","2014",1,"K",36.7627449473798
"227","AT","2014",1,"L",31.2770570427357
"228","AT","2014",1,"M_N",39.1650784760714
"229","AT","2014",2,"B",55.379560030789
"230","AT","2014",2,"C",59.5653319924391
"231","AT","2014",2,"D",52.3343526855765
"232","AT","2014",2,"E",71.2023959607771
"233","AT","2014",2,"F",63.5968559736144
"234","AT","2014",2,"G",67.7539919915216
"235","AT","2014",2,"H",66.8289743179346
"236","AT","2014",2,"I",61.8454999730814
"237","AT","2014",2,"J",41.6224904308079
"238","AT","2014",2,"K",57.3527371574002
"239","AT","2014",2,"L",60.603381886613
"240","AT","2014",2,"M_N",44.844863191247
"241","AT","2014",3,"B",17.7691146662048
"242","AT","2014",3,"C",14.8248352292507
"243","AT","2014",3,"D",7.22699157461676
"244","AT","2014",3,"E",14.3110665797378
"245","AT","2014",3,"F",17.7730313697508
"246","AT","2014",3,"G",14.3809772253426
"247","AT","2014",3,"H",16.9817423791158
"248","AT","2014",3,"I",26.2997802153318
"249","AT","2014",3,"J",4.05374775697648
"250","AT","2014",3,"K",5.88451789522011
"251","AT","2014",3,"L",8.11956107065128
"252","AT","2014",3,"M_N",15.9900584258139
"253","AT","2015",1,"B",32.8255564175611
"254","AT","2015",1,"C",29.5248186417737
"255","AT","2015",1,"D",43.7268398890553
"256","AT","2015",1,"E",20.5675340488477
"257","AT","2015",1,"F",21.9037084999694
"258","AT","2015",1,"G",21.010961968127
"259","AT","2015",1,"H",20.2501507190085
"260","AT","2015",1,"I",17.4004201913044
"261","AT","2015",1,"J",54.5571878112056
"262","AT","2015",1,"K",45.7389111189277
"263","AT","2015",1,"L",43.0731657526148
"264","AT","2015",1,"M_N",42.6225828006864
"265","AT","2015",2,"B",59.0375372067358
"266","AT","2015",2,"C",56.2651061986046
"267","AT","2015",2,"D",50.062349939778
"268","AT","2015",2,"E",63.062620031411
