"","Estimate","Std. Error","t value","Pr(>|t|)"
"prod_logchanges_c5",0.0842730417110267,0.192982035587483,0.436688531419411,0.662348278835776
"prod_logchanges_c5_lag1",0.118401412246491,0.165179466988351,0.716804663468503,0.473514220287909
"prod_logchanges_c5_lag2",-0.193983080273137,0.205293877960618,-0.944904359546216,0.344734415919074
"prod_logchanges_c5_lag3",0.177975969064289,0.141767210274835,1.25540996905602,0.209364293061262
"factor(country)BE",-0.0548338915319912,0.252030467882977,-0.217568502699649,0.827770521327296
"factor(country)CZ",-0.92632856980844,0.371554319352625,-2.49311748393188,0.0126814654889603
"factor(country)DE",-0.24560903342363,0.190245240002027,-1.2910127655284,0.196734168071327
"factor(country)DK",-0.752639710533522,0.235400009473181,-3.19727986510243,0.00139235600082763
"factor(country)EL",-0.689385122042444,0.395138135039161,-1.74466866371711,0.0810785035933644
"factor(country)FI",-0.734784767136664,0.205210825857292,-3.58063354633955,0.000344664553425833
"factor(country)FR",-0.574116626264231,0.20163643245297,-2.8472861738324,0.00441988303183588
"factor(country)IT",-0.0695165518907507,0.223052960794723,-0.311659399826246,0.755306987981342
"factor(country)LU",-1.0122778271137,0.429713159064586,-2.35570590697586,0.0185100096835581
"factor(country)NL",-0.422772468048172,0.205838917773404,-2.05389958624625,0.0400157633148063
"factor(country)SE",-0.435528507011246,0.258269509592777,-1.68633342626452,0.0917680929123574
"factor(country)SI",-1.00402901815023,0.470348456648431,-2.13464933063596,0.0328180291623472
"factor(country)SK",-0.255548408807597,0.375245043624394,-0.681017412886583,0.495878921827163
"factor(country)US",-0.494102770867467,0.303686437257877,-1.62701625837804,0.103770507054735
"factor(year)1980",-1.25703105156055,0.677709834556597,-1.85482191265969,0.0636560754572725
"factor(year)1981",-2.1561226171138,0.712106975685064,-3.0278071845028,0.00247069788638007
"factor(year)1982",-0.294462557179059,0.625313219880966,-0.470904097046137,0.637721239843639
"factor(year)1983",-0.609828345488848,0.636258212194394,-0.958460470609264,0.337857725962891
"factor(year)1984",0.377341182890558,0.683029836182855,0.552451976328512,0.580653174638539
"factor(year)1985",0.131696643673513,0.571266003029895,0.230534712331939,0.81768181075678
"factor(year)1986",-0.499009659415267,0.605482312465185,-0.824152331359737,0.409876005971617
"factor(year)1987",-0.389388898565033,0.628612597830864,-0.61944176732806,0.535641884313282
"factor(year)1988",-0.657374822749263,0.667585970178964,-0.984704370843858,0.324797178678749
"factor(year)1989",-0.637111658547084,0.68800531592911,-0.926027232342969,0.354457974045565
"factor(year)1990",-1.4860356487283,0.593604633405765,-2.50340978675027,0.0123188049015333
"factor(year)1991",-3.68239319415994,0.691243925898237,-5.32719790539186,0.000000102278680886935
"factor(year)1992",-3.47456671302523,0.667291890585881,-5.20696678926304,0.000000196421846920796
"factor(year)1993",-4.22778924446674,0.671469309417611,-6.29632536464497,0.000000000319808433621415
"factor(year)1994",-0.538583181356319,0.621247594342448,-0.866938055392191,0.386000288100481
"factor(year)1995",-0.86940248042779,0.76492302751725,-1.13658819142843,0.255742344335392
"factor(year)1996",0.0421861936661054,0.643731297858328,0.0655338552070676,0.947750484393485
"factor(year)1997",-0.0303370821281997,0.588008610019799,-0.051592921619257,0.958854265224464
"factor(year)1998",0.562724411065305,0.623268643039519,0.902860134790425,0.366625574425539
"factor(year)1999",-1.06314739102326,0.533436040007684,-1.99301755278467,0.0462912651081762
"factor(year)2000",0.102168326518047,0.519564279073064,0.196642322486685,0.844112124006659
"factor(year)2001",-0.428634610648162,0.553810032385676,-0.773974080609755,0.438967526400995
"factor(year)2002",-1.34080124890685,0.591994608970171,-2.26488759963422,0.0235445075658115
"factor(year)2003",-1.71887325805274,0.56811858631867,-3.025553642226,0.00248916441548038
"factor(year)2004",-1.08420421291972,0.640453526267675,-1.69286945648978,0.0905167622527206
"factor(year)2005",-1.05984480271152,0.547150793812468,-1.9370250663929,0.052775191042628
"factor(year)2006",0.193282397599965,0.510944718511633,0.37828436344932,0.705228754881805
"factor(year)2007",-0.234284434837803,0.502329043016198,-0.466396355327295,0.640943706415847
"factor(year)2008",-0.70779711881144,0.537377997218664,-1.3171308138309,0.18783008996661
"factor(year)2009",-4.36076914884313,0.715942455523974,-6.09094923090101,0.00000000117091098107126
"factor(year)2010",-0.631078306289534,0.655965374687992,-0.962060393187223,0.33604648436726
"factor(year)2011",-0.398952939600553,0.617943557314663,-0.645613883142085,0.518546775433189
"factor(year)2012",-1.18001759066581,0.697479133998309,-1.69183210385283,0.0907144430240924
"factor(year)2013",-1.59023062295217,0.544039936489588,-2.92300347142365,0.00347581769359723
"factor(year)2014",-0.704943374045694,0.526593433976797,-1.33868622083266,0.180708449189532
"factor(year)2015",-0.618388248024755,0.542216794258439,-1.14048154644581,0.254117692826022
"(Intercept)",0.284285063533022,0.460387752232499,0.617490500462871,0.536927724506496
"prod_logchanges_b1",-0.138320637898254,0.0210346089980416,-6.57585971344332,0.0000000000512157431186771
"prod_logchanges_b2",-0.426569094444955,0.0369372802896145,-11.5484705722877,0.00000000000000000000000000000126845313244724
"prod_logchanges_b3",-0.0253376363344937,0.0379511351912028,-0.6676384304933,0.504382477835522
"prod_logchanges_b4",-0.0555018127733976,0.0296639547627054,-1.87101865605514,0.0613766954539512
"prod_logchanges_b5",-0.108813718209815,0.0141962170630076,-7.66497988350441,0.000000000000019847933902771
"prod_logchanges_c1",-0.226820814875498,0.223114434315009,-1.01661201603503,0.3093668623535
"prod_logchanges_c1_lag1",0.0322400317932316,0.219022897435952,0.147199366690231,0.88297813849062
"prod_logchanges_c1_lag2",0.105661130778643,0.237872916732651,0.444191512972438,0.656915393318875
"prod_logchanges_c1_lag3",-0.188329921133672,0.223355830595738,-0.843183366341304,0.399149536947861
"prod_logchanges_c2",-0.271525551811635,0.0944030065931918,-2.87623839123803,0.00403442713797232
"prod_logchanges_c2_lag1",-0.221791176591106,0.0802495285304444,-2.76376921650032,0.00572604880969625
"prod_logchanges_c2_lag2",0.17526874147543,0.09044614389992,1.93782436617052,0.0526776075614847
"prod_logchanges_c2_lag3",0.0713857953521042,0.0808791872184662,0.882622560972095,0.377465101076547
"prod_logchanges_c3",0.87753465623184,0.166784589016138,5.26148525717162,0.000000146367941935592
"prod_logchanges_c3_lag1",0.115500553983725,0.152121892280108,0.759263195142545,0.447716105261669
"prod_logchanges_c3_lag2",-0.0775410146717446,0.156825550981756,-0.494441206718702,0.62100734866919
"prod_logchanges_c3_lag3",-0.0567370162710088,0.156688542331879,-0.362100606889528,0.717285817972051
"prod_logchanges_c4",0.195295193787579,0.101657634730175,1.92110700102301,0.0547515015593658
"prod_logchanges_c4_lag1",-0.116237144946773,0.113308274259316,-1.0258486920448,0.304991993177868
"prod_logchanges_c4_lag2",-0.023780491512465,0.126307501163794,-0.188274578258237,0.850665890187243
"prod_logchanges_c4_lag3",-0.0338135570877859,0.112596714379482,-0.30030678314311,0.763950476201668
"prod_logchanges_c5",0.170820299777735,0.187792311901834,0.90962349868204,0.363046796392766
"prod_logchanges_c5_lag1",0.294489617805221,0.162459251963239,1.8126983489488,0.0699134895331926
"prod_logchanges_c5_lag2",-0.072714506369956,0.196036600240442,-0.370923114769235,0.710704007254717
"prod_logchanges_c5_lag3",0.273039554243832,0.135274691740721,2.01840825309114,0.0435799897723168
"factor(year)1980",-1.33341719969331,0.595746882792476,-2.23822774102167,0.0252319002162316
"factor(year)1981",-2.32479242667788,0.676247077513958,-3.43778554315438,0.000589292660328324
"factor(year)1982",-0.528021267845851,0.551539280985189,-0.95735931428614,0.338413052612811
"factor(year)1983",-0.812476604009168,0.547686560624971,-1.48347004002078,0.137986508234485
"factor(year)1984",0.144622641950796,0.614866632561163,0.235209774432523,0.814051564715271
"factor(year)1985",-0.0452431569139981,0.497433538617058,-0.0909531694219515,0.927531937260154
"factor(year)1986",-0.605701595232476,0.529453947811329,-1.1440118592681,0.252650813339581
"factor(year)1987",-0.352026390831969,0.548679521817277,-0.641588353190265,0.521157732225594
"factor(year)1988",-0.501503805225012,0.575475755144338,-0.871459485029439,0.383527838826447
"factor(year)1989",-0.571940529697662,0.589336873289329,-0.970481494744134,0.331834055127105
"factor(year)1990",-1.56994741334036,0.520104541246252,-3.0185227946261,0.00254760617066644
"factor(year)1991",-3.80049903351373,0.63073867173749,-6.0254733121794,0.00000000175604492525232
"factor(year)1992",-3.44537199080162,0.614389074069526,-5.6078015319845,0.0000000211305973689612
"factor(year)1993",-4.31490190285376,0.596891973028702,-7.22894945455444,0.000000000000528720692414821
"factor(year)1994",-0.476130564615471,0.563076203908584,-0.845588148301097,0.397806252124964
"factor(year)1995",-1.01451351616805,0.700397794040213,-1.44848188386756,0.147519076594732
"factor(year)1996",-0.310575459555987,0.557476703228834,-0.557109306554289,0.577467363031037
"factor(year)1997",-0.254562479032487,0.519119110600356,-0.490373931212218,0.623881930164946
"factor(year)1998",0.367042474827175,0.526983837580988,0.696496644967347,0.486136831555521
"factor(year)1999",-0.875643874965312,0.450755247830153,-1.94261493167409,0.0520955588503475
