"","Resp_id1","ISCO_NU","Functions","strata","bra10grp","bra10grp_code","aldergrp","udgrp","loengrp","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","J3"
"1136","LS837938","Numerical and material recording clerks","4",4,"Offentlig administration, undervisning og sundhed",9,2,1,2,1350.8274958561,1,NA,98,NA,1,1,1,1,1,2,2,3,2,2,1,2,2,1,5,3,5,5,1,3,3,3,3,3,1,5,4,3,4,3,NA,NA,5,3,NA,NA,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,83,3,3
"1137","LS838251","Teaching professionals","2",7,"Offentlig administration, undervisning og sundhed",9,2,2,2,2359.08043563257,1,NA,48,NA,1,1,2,1,1,2,1,3,2,4,4,3,1,2,2,3,1,5,3,1,1,3,3,2,4,3,4,5,1,3,1,1,5,3,NA,NA,5,3,NA,NA,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,40,3,1
"1138","LS838269","Business and administration professionals","2",4,"Handel og transport",4,2,2,3,1002.41280416772,1,NA,76,NA,1,1,1,1,2,2,2,2,3,3,2,4,2,2,5,2,4,5,4,3,3,3,3,3,1,5,2,2,2,3,1,1,5,3,NA,NA,4,3,NA,NA,2,1,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,76,3,3
"1139","LS838339","Drivers and mobile plant operators","8",9,"Landbrug, skovbrug og fiskeri",1,2,1,4,2825.19527810133,1,NA,14,NA,1,2,2,1,1,2,2,3,4,3,3,1,2,2,2,2,2,2,3,3,3,3,3,3,2,5,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,94,2,13
"1140","LS838757","None","None",8,"Offentlig administration, undervisning og sundhed",9,1,3,2,1980.26940320263,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,999,3,13
"1141","LS839772","Science and engineering professionals","2",8,"Erhvervsservice",8,1,3,3,1928.61999803679,1,NA,48,NA,2,NA,NA,NA,1,1,1,2,2,2,2,3,4,2,2,2,3,3,3,NA,NA,NA,NA,NA,2,4,2,1,1,NA,2,2,3,NA,2,2,4,NA,NA,NA,1,NA,2,1,5,NA,NA,NA,5,NA,NA,NA,3,NA,2,2,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,62,3,3
"1142","LS840141","None","None",8,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,3,4,998.531980583745,1,NA,45,NA,1,1,1,2,2,2,2,3,2,2,3,3,2,2,3,3,2,4,3,3,3,3,3,3,1,3,2,2,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,45,3,7
"1143","LS840737","Administrative and commercial managers","1",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,1002.41280416772,1,NA,98,NA,1,1,1,1,1,1,1,3,1,1,4,1,1,2,1,2,2,5,3,3,3,3,3,3,2,5,2,2,1,3,1,1,5,3,NA,NA,5,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,1
"1144","LS841720","Business and administration associate professionals","3",3,"Handel og transport",4,3,2,1,2050.42777707812,1,NA,93,NA,1,1,1,1,2,2,2,4,4,4,4,4,2,2,2,4,4,5,5,1,2,2,1,1,1,5,2,3,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,93,3,3
"1145","LS844304","None","None",6,"Finansiering og forsikring",6,1,2,1,1558.71222104485,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,48,3,13
"1146","LS844825","None","None",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,1,1,1,1967.02848542824,1,NA,15,NA,2,NA,NA,NA,1,2,3,4,3,2,4,2,2,2,2,4,2,4,4,NA,NA,NA,NA,NA,1,4,2,2,3,NA,2,1,4,NA,NA,NA,4,NA,NA,NA,2,NA,2,1,5,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,15,3,3
"1147","LS844863","Personal care workers","5",6,"Offentlig administration, undervisning og sundhed",9,3,2,2,575.888365585699,1,NA,57,NA,1,1,1,1,1,1,2,1,2,4,3,4,5,4,4,3,3,5,4,2,2,1,2,3,2,3,3,3,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,64,3,13
"1148","LS845171","Business and administration professionals","2",8,"Erhvervsservice",8,1,2,1,2018.05509792215,1,NA,22,NA,1,1,2,2,1,1,2,3,2,1,3,3,2,4,2,3,1,4,1,1,1,1,2,3,2,5,4,1,1,1,2,1,3,1,1,2,3,1,2,1,1,1,3,1,2,1,1,1,4,1,NA,NA,1,1,1,1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,36,3,9
"1149","LS845912","Science and engineering associate professionals","3",8,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,1249.06286002464,1,NA,34,NA,1,1,1,1,1,2,2,4,2,2,5,3,3,3,3,2,2,5,4,3,3,3,3,3,2,5,2,2,2,1,2,1,5,3,NA,NA,4,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,3,13
"1150","LS846060","Science and engineering professionals","2",8,"Erhvervsservice",8,1,3,4,1928.61999803679,1,NA,23,NA,1,2,2,2,1,1,1,4,1,1,4,1,1,1,1,2,2,5,3,3,3,3,3,3,1,5,2,1,1,1,3,1,1,1,1,1,3,1,1,2,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,7
"1151","LS846338","None","None",5,"Handel og transport",4,3,3,1,2124.95100492103,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,6,11,3,3
"1152","LS847533","Health professionals","2",3,"Offentlig administration, undervisning og sundhed",9,1,3,2,2457.97572238392,1,NA,13,NA,1,1,1,1,2,2,2,4,2,2,2,2,3,3,2,2,2,3,4,1,1,3,3,3,2,4,4,4,2,3,3,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,75,1,8
"1153","LS847809","Chief executives, senior officials and legislators","1",4,"Finansiering og forsikring",6,2,3,4,798.926959286626,1,NA,74,NA,1,1,1,2,2,2,2,4,2,2,4,2,2,2,2,2,3,5,5,1,1,2,1,1,1,4,2,2,3,1,2,2,4,1,NA,NA,4,1,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,4,1,NA,NA,2,1,3,2,NA,NA,NA,NA,74,3,3
"1154","LS848051","None","None",5,"Offentlig administration, undervisning og sundhed",9,1,2,2,3333.32365082548,1,NA,86,NA,2,NA,NA,NA,2,2,2,5,3,1,3,2,3,2,3,4,2,5,4,NA,NA,NA,NA,NA,1,3,2,2,1,NA,1,1,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,86,3,4
"1155","LS848066","Business and administration professionals","2",8,"Handel og transport",4,2,2,4,1249.06286002464,1,NA,24,NA,1,1,1,1,2,2,1,3,1,2,4,2,1,1,4,2,1,5,3,3,3,3,3,3,1,2,4,2,3,3,3,2,1,3,3,1,3,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,46,3,9
"1156","LS848177","Business and administration associate professionals","3",4,"Offentlig administration, undervisning og sundhed",9,2,3,3,798.926959286626,1,NA,98,NA,1,1,1,1,4,3,2,2,2,3,4,2,4,3,5,2,3,5,5,3,3,3,3,3,2,4,3,3,1,3,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,4
"1157","LS848264","Business and administration associate professionals","3",2,"Finansiering og forsikring",6,1,2,1,1571.66891862629,1,NA,85,NA,2,NA,NA,NA,1,2,2,3,2,2,5,2,3,2,2,4,2,1,4,NA,NA,NA,NA,NA,2,5,2,2,2,NA,1,1,5,NA,NA,NA,1,NA,1,1,1,NA,1,1,5,NA,NA,NA,5,NA,NA,NA,1,NA,1,1,1,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,98,3,3
"1158","LS848652","Health professionals","2",1,"Offentlig administration, undervisning og sundhed",9,2,3,2,1969.37265492812,1,NA,35,NA,1,1,1,1,2,2,2,3,3,2,3,2,3,4,4,4,3,5,4,3,3,3,3,3,2,4,3,3,1,3,1,2,2,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,35,3,1
"1159","LS849404","Business and administration professionals","2",8,"Finansiering og forsikring",6,2,2,4,1249.06286002464,1,NA,20,NA,1,1,1,1,2,3,3,3,3,2,5,2,4,2,3,2,3,5,4,3,3,3,3,3,2,5,3,2,3,1,3,1,2,3,1,1,1,3,1,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,20,2,1
"1160","LS850382","None","None",4,"Handel og transport",4,1,2,1,1970.89317582323,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,6,98,3,3
"1161","LS850612","Building and related trades workers, excluding electricians","7",4,"Offentlig administration, undervisning og sundhed",9,3,3,3,497.233375978541,1,NA,37,NA,1,2,2,2,2,2,2,4,3,3,4,3,3,2,2,3,3,4,4,3,3,3,3,3,2,3,2,3,2,2,2,2,5,3,NA,NA,5,3,NA,NA,5,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,37,1,3
"1162","LS851312","Cleaners and helpers","9",8,"Erhvervsservice",8,2,1,3,1566.25858322285,1,NA,77,NA,1,1,1,1,3,1,4,1,5,4,4,5,4,1,5,4,4,4,4,3,3,3,3,3,1,4,2,4,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,77,3,1
"1163","LS851502","Personal service workers","5",6,"Offentlig administration, undervisning og sundhed",9,3,2,2,575.888365585699,1,NA,89,NA,1,1,1,1,1,1,1,4,4,3,3,1,2,1,4,4,5,5,4,1,3,3,1,1,1,5,4,4,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,89,3,13
"1164","LS851556","Teaching professionals","2",9,"Offentlig administration, undervisning og sundhed",9,1,3,2,3501.3837429505,1,NA,62,NA,1,1,1,1,1,1,2,4,3,3,4,3,2,2,1,2,3,5,4,3,3,3,2,2,1,3,3,3,2,3,2,1,5,2,NA,NA,5,3,NA,NA,1,1,1,1,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,62,3,1
"1165","LS854569","Teaching professionals","2",8,"Erhvervsservice",8,3,2,3,711.070553675892,1,NA,54,NA,1,1,1,1,3,2,2,3,3,3,2,2,2,2,1,3,1,5,3,3,3,3,3,3,1,5,3,2,3,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,23,3,13
"1166","LS854936","Sales workers","5",3,"Handel og transport",4,1,1,1,4779.54389490108,1,NA,75,NA,1,1,1,1,1,3,3,2,3,3,3,2,3,3,2,2,4,3,3,1,1,3,1,3,2,4,2,2,4,1,NA,NA,1,3,2,1,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,75,3,7
